source_file,en_source,de_translation,de_correction,error_category,severity,feedback_reviewer,feedback_translator,linter_fires,comment_classification
25_0821_7388_US_LB_3.xlsx,"utilizing the control circuit (22) to automatically determine (112) a type, a viscosity and a volume of new oil associated with the vehicle based on a database of vehicles enrolled in member service rolls and match information in the wireless signal; and","Verwenden der Steuerschaltung (22), um ein Typ, eine Viskosität und ein Volumen von Öl, das dem Fahrzeug zugeordnet ist, automatisch zu bestimmen (112), basierend auf einer Datenbank von Fahrzeugen, die in Mitgliederdienstrollen eingeschrieben sind, und Übereinstimmungsinformationen in dem drahtlosen Signal abzugleichen; und","Verwenden der Steuerschaltung (22), um ein Typ, eine Viskosität und ein Volumen von neuem Öl, das dem Fahrzeug zugeordnet ist, automatisch zu bestimmen (112), basierend auf einer Datenbank von Fahrzeugen, die in Mitgliederdienstrollen eingeschrieben sind, und Übereinstimmungsinformationen in dem drahtlosen Signal abzugleichen; und",Accuracy,Minor,,,,manual:accuracy
25_0821_7388_US_LB_3.xlsx,controlling a volume of the new oil added to the engine of the vehicle via a second quick connect fitting configured to mate with the quick connect valve of the vehicle.,"Steuern eines Volumens von neuem Öl, das dem Motor des Fahrzeugs über eine zweite Schnellkupplung zugeführt wird, das konfiguriert ist, um mit der Schnellkupplung des Fahrzeugs zusammenzupassen.","Steuern eines Volumens von dem neuem Öl, das dem Motor des Fahrzeugs über eine zweite Schnellkupplung zugeführt wird, die konfiguriert ist, um mit dem Schnellkupplungsventil des Fahrzeugs zusammenzupassen.",Mistranslation,Major,1) von dem neuen Öl 2) wrong reference: Schnellkupplungsventil not Schnellkupplung,,werden_dynamic,manual:accuracy
25_0821_7388_US_LB_3.xlsx,"The method (110) of Claim 13, further comprising introducing a purging agent to an oil filter of the vehicle.","Verfahren (110) nach Anspruch 13, ferner umfassend ein Einbringen eines Spülmittels in einen Ölfilter des Fahrzeugs.","Verfahren (110) nach Anspruch 13, ferner umfassend Einbringen eines Spülmittels in einen Ölfilter des Fahrzeugs.",Accuracy,Minor,,,,manual:other
25_0821_7388_US_LB_3.xlsx,analyze a condition of a used oil based on the output signal; and,den Zustand eines gebrauchten Öls basierend auf dem Ausgangssignal zu analysieren; und,einen Zustand eines gebrauchten Öls basierend auf dem Ausgangssignal zu analysieren; und,Accuracy,Minor,,,,linter_new:article_first_mention
25_0821_7388_US_LB_3.xlsx,prompt a driver of the vehicle to drive the vehicle onto a designated service pad upon identifying the vehicle.,"einen Fahrer des Fahrzeugs aufzufordern, das Fahrzeug nach der Identifizierung des Fahrzeugs auf einen bezeichneten Serviceplatz zu fahren.","einen Fahrer des Fahrzeugs aufzufordern, das Fahrzeug nach dem Identifizieren des Fahrzeugs auf einen bezeichneten Serviceplatz zu fahren.",Style,Minor,gerundium= nominalisierung,,,linter_new:nominalization
25_0827_7627_US_LB_4.xlsx,1. A sight and accessory mount (10) for a firearm (100),1. Visier- und Zubehörhalterung (10) für eine Schusswaffe (100),1. Visier- und Zubehörhalterung (10) für eine Feuerwaffe (100),Terminology,Major,"terminology inconsistency Schusswaffe/Feuerwaffe, title provided: Feuerwaffe, but the majority of the translation used Schusswaffe",,,manual:consistency
25_0827_7627_US_LB_4.xlsx,"a sight mount (12) arranged to carry, or fasten, or be fixed to, a sight (16), wherein the sight mount (12) is arranged to be attached to, or fixed to, the firearm (100) with the sight mount (12) positioned between, or at least partly between, the sight (16) and the firearm (100),","eine Visierhalterung (12), die angeordnet ist, um ein Visier (16) zu tragen, oder zu befestigen oder daran zu fixieren, wobei die Visierhalterung (12) so angeordnet ist, dass sie an der Feuerwaffe (100) angebracht oder daran fixiert wird, wobei die Visierhalterung (12) zwischen oder mindestens teilweise zwischen dem Visier (16) und der Feuerwaffe (100) positioniert ist,","eine Visierhalterung (12), die angeordnet ist, um ein Visier (16) zu tragen oder zu befestigen oder daran zu fixieren, wobei die Visierhalterung (12) so angeordnet ist, dass sie an der Feuerwaffe (100) angebracht oder daran fixiert wird, wobei die Visierhalterung (12) zwischen oder mindestens teilweise zwischen dem Visier (16) und der Feuerwaffe (100) positioniert ist,",Language,Minor,comma removed,,werden_dynamic,manual:punctuation
25_0827_7627_US_LB_4.xlsx,claim 1-3,Anspruch 1 bis 3,Anspruch 1–3,Language,,"I prefer to keep the dash, to avoid that in the IR step we get asked to double check because it is inconsistent with the source, that happens frequently",,,manual:other
25_0827_7627_US_LB_4.xlsx,"The sight and accessory mount (10) according to claim 1-11, further comprises a pivot lock (80), wherein the pivot lock comprises a spring loaded second plunger (82) and the accessory mount comprises, or forms, a first indentation (52), wherein the second plunger (82) cooperates with the first indentation (52) and biases the accessory mount towards the first end position.","Visier- und Zubehörhalterung (10) nach Anspruch 1–11 umfasst ferner eine Schwenkverriegelung (80), wobei die Schwenkverriegelung einen federbelasteten zweiten Kolben (82) umfasst und die Zubehörhalterung eine erste Vertiefung (52) umfasst oder bildet, wobei der zweite Kolben (82) mit der ersten Vertiefung (52) zusammenwirkt und die Zubehörhalterung in Richtung der ersten Endposition vorspannt.","Visier- und Zubehörhalterung (10) nach Anspruch 1–11, ferner umfassend eine Schwenkverriegelung (80), wobei die Schwenkverriegelung einen federbelasteten zweiten Kolben (82) umfasst und die Zubehörhalterung eine erste Vertiefung (52) umfasst oder bildet, wobei der zweite Kolben (82) mit der ersten Vertiefung (52) zusammenwirkt und die Zubehörhalterung in Richtung der ersten Endposition vorspannt.",Preferential Change,,,,,glossary:comprise
25_0827_7627_US_LB_4.xlsx,"the sight and accessory mount (10) of any of claims 1-13, and","das Visier- und die Zubehörhalterung (10) nach einem der Ansprüche 1 bis 13, und","die Visier- und die Zubehörhalterung (10) nach einem der Ansprüche 1–13, und",Language,Minor,,,,manual:article
25_0827_7648_US_LB_4.xlsx,"(20a-20d, 70)","(20a-20d, 70)","(20a–20d, 70)",Country Standards,Minor,en-dash instead of regular dash/hyphen,,,linter:hyphen_in_number_range
25_0827_7648_US_LB_4.xlsx,"wherein said vacuum insulated glass unit (1) comprises at least two glass sheets (2a, 2b) separated by a gap (11) between said glass sheets (2a, 2b), wherein a plurality of support structures (12) are distributed in said gap (11),","wobei die Vakuumisolierglaseinheit (1), mindestens zwei Glasscheiben (2a, 2b) umfasst, die durch einen Spalt (11) zwischen den Glasscheiben (2a, 2b) getrennt sind, wobei eine Vielzahl von Tragstrukturen (12) in dem Spalt (11) verteilt ist,","wobei die Vakuumisolierglaseinheit (1) mindestens zwei Glasscheiben (2a, 2b) umfasst, die durch einen Spalt (11) zwischen den Glasscheiben (2a, 2b) getrennt sind, wobei eine Vielzahl von Tragstrukturen (12) in dem Spalt (11) verteilt ist,",Language,Minor,removed a comma,,,manual:punctuation
25_0827_7648_US_LB_4.xlsx,"characterized in that a lamination glass sheet (14) is attached to an outer major surface (4a) of said first glass sheet (2a) by means of a lamination layer (16), and wherein said sealing system (1c) extends into a hole (14a) in the lamination glass sheet (14), and said sealing system (1c) extends into a hole (14a) in the lamination glass sheet (14) that is also covered by the frame (20),","dadurch gekennzeichnet, dass eine Laminierglasscheibe (14) an einer äußeren größten Oberfläche (4a) der ersten Glasscheibe (2a) durch eine Laminierschicht (16) angebracht ist, und wobei sich das Versiegelungssystem (1c) in ein Loch (14a) in der Laminierglasscheibe (14) erstreckt, und das Versiegelungssystem (1c) sich in ein Loch (14a) in der Laminierglasscheibe (14) erstreckt, das auch von dem Rahmen (20) abgedeckt ist,","dadurch gekennzeichnet, dass eine Laminierglasscheibe (14) an einer äußeren Hauptoberfläche (4a) der ersten Glasscheibe (2a) durch eine Laminierschicht (16) angebracht ist, und wobei sich das Versiegelungssystem (1c) in ein Loch (14a) in der Laminierglasscheibe (14) erstreckt, und das Versiegelungssystem (1c) sich in ein Loch (14a) in der Laminierglasscheibe (14) erstreckt, das auch von dem Rahmen (20) abgedeckt ist,",Terminology,Minor,"terminology consistency with ohter segments, also more accurate",,,manual:terminology
25_0827_7648_US_LB_4.xlsx,"7. A vacuum insulated glass (VIG) unit frame assembly (10) according to any of the preceding claims, wherein the frame (20) is configured to handle and allow the magnitude of the thermal deflection of the vacuum insulated glass unit edges (8a-8d) held by said frame (20) to vary along the respective vacuum insulated glass unit edge (8a-8d) between corners where the respective edge (a-8d) terminates, wherein the thermal deflection is due to a temperature difference (ΔT = T1 – T2) between the two glass sheets (2a, 2b).","7. Vakuumisolierglaseinheit-(VIG-Einheit-)Rahmenbaugruppe (10) nach einem der vorhergehenden Ansprüche, wobei der Rahmen (20) konfiguriert ist, um die Größe der thermischen Auslenkung der Kanten (8a-8d) der Vakuumisolierglaseinheit, die von dem Rahmen (20) gehalten werden, entlang der jeweiligen Kante (8a-8d) der Vakuumisolierglaseinheit zwischen den Ecken, an denen die jeweilige Kante (a-8d) endet, variieren kann, wobei die thermische Auslenkung auf einen Temperaturunterschied (ΔT = T1 - T2) zwischen den zwei Glasscheiben (2a, 2b) zurückzuführen ist.","7. Vakuumisolierglaseinheit-(VIG-Einheit-)Rahmenbaugruppe (10) nach einem der vorhergehenden Ansprüche, wobei der Rahmen (20) konfiguriert ist, um die Größe der thermischen Auslenkung der Kanten (8a-8d) der Vakuumisolierglaseinheit, die von dem Rahmen (20) gehalten werden, entlang der jeweiligen Kante (8a–8d) der Vakuumisolierglaseinheit zwischen den Ecken, an denen die jeweilige Kante (a–8d) endet, zu variieren, wobei die thermische Auslenkung auf einen Temperaturunterschied (ΔT = T1 – T2) zwischen den zwei Glasscheiben (2a, 2b) zurückzuführen ist.",Language,Minor,um…. zu variieren,,werden_dynamic,manual:word_order; linter:hyphen_in_number_range
25_0827_7648_US_LB_4.xlsx,"7. A vacuum insulated glass (VIG) unit frame assembly (10) according to any of the preceding claims, wherein the frame (20) is configured to handle and allow the magnitude of the thermal deflection of the vacuum insulated glass unit edges (8a-8d) held by said frame (20) to vary along the respective vacuum insulated glass unit edge (8a-8d) between corners where the respective edge (a-8d) terminates, wherein the thermal deflection is due to a temperature difference (ΔT = T1 – T2) between the two glass sheets (2a, 2b).","7. Vakuumisolierglaseinheit-(VIG-Einheit-)Rahmenbaugruppe (10) nach einem der vorhergehenden Ansprüche, wobei der Rahmen (20) konfiguriert ist, um die Größe der thermischen Auslenkung der Kanten (8a-8d) der Vakuumisolierglaseinheit, die von dem Rahmen (20) gehalten werden, entlang der jeweiligen Kante (8a–8d) der Vakuumisolierglaseinheit zwischen den Ecken, an denen die jeweilige Kante (a–8d) endet, zu variieren, wobei die thermische Auslenkung auf einen Temperaturunterschied (ΔT = T1 – T2) zwischen den zwei Glasscheiben (2a, 2b) zurückzuführen ist.",,Consistency,Minor,terminology inconsistency magnitude: Größe(Größenordnung),,werden_dynamic,
25_0827_7648_US_LB_4.xlsx,"wherein the frame (20) is configured to allow all edges (8a-8d) of the vacuum insulated glass unit to provide a thermal edge deflection relative to and/or together with one or more parts (28a, 28b, 7, 7a, 7b) of said frame profile arrangements (20a, 20b, 20c, 20d) so that the magnitude of the thermal edge deflection varies between corners of the respective edge (8a-8d) when the temperature difference (ΔT = T1 – T2) between the glass sheets (2a, 2b) of the vacuum insulated glass unit is 65° C, and wherein said fixation system (28a, 28b, 45a, 45b) is arranged so as to allow a shift in the direction (D1, D2) of the thermal deflection of the corners (9) and/or centre parts of the edges (8a, 8b) of the vacuum insulated glass unit (1) in response to a change in the temperature difference (ΔT = T1 – T2) between the two glass sheets (2a, 2b) of the vacuum insulated glass unit.","wobei der Rahmen (20) konfiguriert ist, um zu ermöglichen, dass alle Kanten (8a–8d) der Vakuumisolierglaseinheit eine thermische Kantenauslenkung relativ zu und/oder zusammen mit einem oder mehreren Teilen (28a, 28b, 7, 7a, 7b) der Rahmenprofilanordnungen (20a, 20b, 20c, 20d) bereitstellen, sodass die Größenordnung der thermischen Kantenauslenkung zwischen den Ecken der jeweiligen Kante (8a–8d) variiert, wenn die Temperaturdifferenz (ΔT = T1 – T2) zwischen den Glasscheiben (2a, 2b) der vakuumisolierten Glaseinheit 65°C beträgt, und wobei das Fixiersystem (28a, 28b, 45a, 45b) derart angeordnet ist, dass es eine Verschiebung in Richtung (D1, D2) der thermischen Auslenkung der Ecken (9) und/oder Mittelteile der Kanten (8a, 8b) der Vakuumisolierglaseinheit (1) als Reaktion auf eine Änderung der Temperaturdifferenz (ΔT = T1 – T2) zwischen den beiden Glasscheiben (2a, 2b) der Vakuumisolierglaseinheit ermöglicht.","wobei der Rahmen (20) konfiguriert ist, um zu ermöglichen, dass alle Kanten (8a–8d) der Vakuumisolierglaseinheit eine thermische Kantenauslenkung relativ zu und/oder zusammen mit einem oder mehreren Teilen (28a, 28b, 7, 7a, 7b) der Rahmenprofilanordnungen (20a, 20b, 20c, 20d) bereitstellen, sodass die Größenordnung der thermischen Kantenauslenkung zwischen den Ecken der jeweiligen Kante (8a–8d) variiert, wenn die Temperaturdifferenz (ΔT = T1 – T2) zwischen den Glasscheiben (2a, 2b) der Vakuumisolierglaseinheit 65°C beträgt, und wobei das Fixiersystem (28a, 28b, 45a, 45b) derart angeordnet ist, dass es eine Verschiebung in Richtung (D1, D2) der thermischen Auslenkung der Ecken (9) und/oder Mittelteile der Kanten (8a, 8b) der Vakuumisolierglaseinheit (1) als Reaktion auf eine Änderung der Temperaturdifferenz (ΔT = T1 – T2) zwischen den beiden Glasscheiben (2a, 2b) der Vakuumisolierglaseinheit ermöglicht.",Terminology,Minor,,,beide_ambiguous; betraegt_stative,
25_0827_7648_US_LB_4.xlsx,"A vacuum insulated glass (VIG) unit frame assembly (10) according to any of the preceding claims, wherein the vacuum insulated glass unit (1) comprises an edge seal (3), which seals the evacuated gap (11) between the glass sheets (2a, 2b) of the vacuum insulated glass unit (1), wherein the frame (20) overlaps edges of the VIG unit (8a-8d) by an overlap distance (DIS3) which is at least two times the width (W1), such as at least three times the width (W1) of the edge seal (3), measured along an inner surface facing the gap (11) of one of the VIG glass sheets in a direction perpendicular to the nearby edge (8a-8d).","Vakuumisolierglaseinheit-(VIG-Einheit-)Rahmenbaugruppe (10) nach einem der vorhergehenden Ansprüche, wobei die Vakuumisolierglaseinheit (1) eine Kantenversiegelung (3) umfasst, der den evakuierten Spalt (11) zwischen den Glasscheiben (2a, 2b) der Vakuumisolierglaseinheit (1) versiegelt, wobei der Rahmen (20) die Kanten der VIG-Einheit (8a-8d) mit einem Überlappungsabstand (DIS3) überlappt, der mindestens das Zweifache der Breite (W1), beispielsweise mindestens das Dreifache der Breite (W1) der Kantenversiegelung (3) ist, gemessen entlang einer zu dem Spalt (11) gerichteten Innenfläche einer der VIG-Glasscheiben in einer Richtung senkrecht zu der nahe gelegenen Kante (8a-8d).","Vakuumisolierglaseinheit-(VIG-Einheit-)Rahmenbaugruppe (10) nach einem der vorhergehenden Ansprüche, wobei die Vakuumisolierglaseinheit (1) eine Kantenversiegelung (3) umfasst, die den evakuierten Spalt (11) zwischen den Glasscheiben (2a, 2b) der Vakuumisolierglaseinheit (1) versiegelt, wobei der Rahmen (20) über Kanten der VIG-Einheit (8a-8d) mit einem Überlappungsabstand (DIS3) überlappt, der mindestens das Zweifache der Breite (W1), beispielsweise mindestens das Dreifache der Breite (W1) der Kantenversiegelung (3) ist, gemessen entlang einer zu dem Spalt (11) gerichteten Innenfläche einer der VIG-Glasscheiben in einer Richtung senkrecht zu der nahe gelegenen Kante (8a–8d).",Language,Minor,,,,manual:article; linter:hyphen_in_number_range
25_0828_7364_US_LB_4.xlsx,"the pose comprises a position and orientation of the HWD relative to a body reference frame of a mobile platform, the system comprising:","die Haltung eine Position und Ausrichtung des HWD relativ zu einem Körperreferenzrahmen einer mobilen Plattform umfasst, das System umfassend:","die Haltung eine Position und Ausrichtung der HWD relativ zu einem Körperreferenzrahmen einer mobilen Plattform umfasst, das System umfassend:",Language,Minor,"HWD= kopfgetragene Anzeige= die, display is neutrum in German, yes, but the english term is never mentioned in the translation so it needs to me feminine",,,manual:article
25_0828_7364_US_LB_4.xlsx,"determine, based on a head-frame (110) angular rate of motion of a head reference frame relative to an inertial frame and a body-frame (114) angular rate of motion of the body reference frame relative to the inertial frame, a relative angular rate of motion of the head reference frame relative to the body reference frame;",basierend auf einer Kopfrahmen (110)-Winkelbewegungsrate eines Kopfreferenzrahmens relativ zu einem Trägheitsrahmen und einer Körperrahmen (114)-Winkelbewegungsrate des Körperreferenzrahmens relativ zu dem Trägheitsrahmen eine relative Winkelbewegungsrate des Kopfreferenzrahmens relativ zu dem Körperreferenzrahmen zu bestimmen;,basierend auf einer Kopfrahmen-(110-)Winkelbewegungsrate eines Kopfreferenzrahmens relativ zu einem Trägheitsrahmen und einer Körperrahmen-(114-)Winkelbewegungsrate des Körperreferenzrahmens relativ zu dem Trägheitsrahmen eine relative Winkelbewegungsrate des Kopfreferenzrahmens relativ zu dem Körperreferenzrahmen zu bestimmen;,Language,Minor,compound includes Kopfrahmen as well,,,linter:acronym_in_compound
25_0828_7364_US_LB_4.xlsx,determine a total angular increment vector by combining the first and second angular increment vector components;,einen gesamten Winkelinkrementvektor durch Kombinieren der ersten und zweiten Winkelinkrementvektorkomponente zu bestimmen;,einen Gesamtwinkelinkrementvektor durch Kombinieren der ersten und zweiten Winkelinkrementvektorkomponente zu bestimmen;,Preferential Change,,,,,manual:other
25_0828_7364_US_LB_4.xlsx,wherein determining the second angular increment vector component based on the relative angular acceleration includes filtering the relative angular acceleration based on a moving average of the N samples.,wobei das Bestimmen der zweiten Winkelinkrementvektorkomponente basierend auf der relativen Winkelbeschleunigung das Filtern der relativen Winkelbeschleunigung basierend auf einem gleitenden Durchschnitt der N Abtastwerte einschließt.,wobei Bestimmen der zweiten Winkelinkrementvektorkomponente basierend auf der relativen Winkelbeschleunigung Filtern der relativen Winkelbeschleunigung basierend auf einem gleitenden Durchschnitt der N Abtastwerte einschließt.,Accuracy,Minor,,,,linter_new:article_first_mention
25_0828_7364_US_LB_4.xlsx,"7. A computer-assisted method (400) for predicting a future pose of a head worn display, HWD, wherein the pose comprises a position and orientation of the HWD relative to a body reference frame of a mobile platform, the method comprising:","7. Computergestütztes Verfahren (400) zum Vorhersagen einer zukünftigen Haltung einer kopfgetragenen Anzeige (HWD), wobei die Haltung eine Position und Orientierung des HWD relativ zu einem Körperreferenzrahmen einer mobilen Plattform umfasst, das Verfahren umfassend:","7. Computergestütztes Verfahren (400) zum Vorhersagen einer zukünftigen Haltung einer kopfgetragenen Anzeige, HWD, wobei die Haltung eine Position und Orientierung des HWD relativ zu einem Körperreferenzrahmen einer mobilen Plattform umfasst, das Verfahren umfassend:",Consistency,Minor,,,preposition_contraction,manual:consistency
25_0828_7364_US_LB_4.xlsx,selecting (402) a relative angular rate of motion of a head reference frame relative to a body reference frame as determined based on a headframe angular rate of motion and a body-frame angular rate of motion or as determined by at least one optical flow sensor;,"Auswählen (402) einer relativen Winkelbewegungsrate eines Kopfreferenzrahmens relativ zu einem Körperreferenzrahmen, wie sie basierend auf einer Kopfrahmen-Winkelbewegungsrate und einer Körperrahmen-Winkelbewegungsrate bestimmt wird oder wie sie durch mindestens einen optischen Flusssensor bestimmt wird;","Auswählen (402) einer relativen Winkelbewegungsrate eines Kopfreferenzrahmens relativ zu einem Körperreferenzrahmen, wie basierend auf einer Kopfrahmen-Winkelbewegungsrate und einer Körperrahmen-Winkelbewegungsrate bestimmt oder wie durch mindestens einen optischen Flusssensor bestimmt;",Accuracy,Minor,,,werden_dynamic,linter:werden_dynamic; manual:word_order
25_0828_7364_US_LB_4.xlsx,"receiving (414), from a Kalman filter of the HWD, an estimated position and orientation (pose) of the HWD relative to the body reference frame, the estimated pose associated with the current time;","Empfangen (414) einer geschätzten Position und Orientieren (Haltung) der HWD relativ zu dem Körperreferenzrahmen von einem Kalman-Filter des HWD, wobei die geschätzte Haltung der aktuellen Zeit zugeordnet ist;","Empfangen (414) einer geschätzten Position und Orientierung (Haltung) der HWD relativ zu dem Körperreferenzrahmen von einem Kalman-Filter der HWD, wobei die geschätzte Haltung der aktuellen Zeit zugeordnet ist;",Accuracy,Minor,,,,manual:accuracy
25_0828_7364_US_LB_4.xlsx,"9. The method of Claim 7 or 8, wherein determining the projection time relative to the current time includes:","9. Verfahren nach Anspruch 7 oder 8, wobei das Bestimmen der Projektionszeit relativ zu der aktuellen Zeit einschließt:","9. Verfahren nach Anspruch 7 oder 8, wobei Bestimmen der Projektionszeit relativ zu der aktuellen Zeit einschließt:",Accuracy,Minor,,,,linter_new:article_first_mention
25_0901_7863_US_LB_4.xlsx,"1. A divan for an aircraft side-facing seat, the divan comprising:","1. Diwan für einen seitwärtsgerichteten Flugzeugsitz, wobei der Diwan Folgendes umfasst:","1. Diwan für einen seitwärtsgerichteten Flugzeugsitz, der Diwan umfassend:",Accuracy,Minor,comprising= umfassend whenever possible,,,glossary:comprise
25_0901_7863_US_LB_4.xlsx,"a divan seat frame (104), the divan seat frame including a backrest frame (106) and a seat pan frame, the backrest frame including a first backrest frame portion and a second backrest frame portion, the seat pan frame including a first seat pan frame portion (110) and a second seat pan frame portion (112), the first backrest frame portion configured to actuate independently from the second backrest frame portion, the first seat pan frame portion configured to actuate independently from the second seat pan frame portion via a seat pan tracking assembly;","einen Diwan-Sitzrahmen (104), wobei der Diwan-Sitzrahmen einen Rückenlehnenrahmen (106) und einen Sitzflächenrahmen aufweist, wobei der Rückenlehnenrahmen einen ersten Rückenlehnenrahmenabschnitt und einen zweiten Rückenlehnenrahmenabschnitt aufweist, wobei der Sitzflächenrahmen einen ersten Sitzflächenrahmenabschnitt (110) und einen zweiten Sitzflächenrahmenabschnitt (112) aufweist, wobei der erste Rückenlehnenrahmenabschnitt konfiguriert ist, um unabhängig von dem zweiten Rückenlehnenrahmenabschnitt betätigbar zu sein, wobei der erste Sitzflächenrahmenabschnitt konfiguriert ist, um über eine Sitzflächenverstellbaugruppe unabhängig von dem zweiten Sitzflächenrahmenabschnitt betätigbar zu sein;","einen Diwan-Sitzrahmen (104), wobei der Diwan-Sitzrahmen einen Rückenlehnenrahmen (106) und einen Sitzflächenrahmen aufweist, wobei der Rückenlehnenrahmen einen ersten Rückenlehnenrahmenabschnitt und einen zweiten Rückenlehnenrahmenabschnitt aufweist, wobei der Sitzflächenrahmen einen ersten Sitzflächenrahmenabschnitt (110) und einen zweiten Sitzflächenrahmenabschnitt (112) aufweist, wobei der erste Rückenlehnenrahmenabschnitt konfiguriert ist, um unabhängig von dem zweiten Rückenlehnenrahmenabschnitt betätigt zu werden, wobei der erste Sitzflächenrahmenabschnitt konfiguriert ist, um über eine Sitzflächenverstellbaugruppe unabhängig von dem zweiten Sitzflächenrahmenabschnitt betätigt zu werden;",Accuracy,Minor,,,,linter:werden_dynamic; manual:accuracy
25_0901_7863_US_LB_4.xlsx,"one or more closeout panels (137a, 137b) configured to be arranged proximate to the opening within the storage compartment, the one or more closeout panels configured to at least partially form the opening within the storage compartment and at least partially enclose one or more gaps formed between the one or more sidewalls of the storage compartment, the plurality of frame members, and one or more portions of the divan seat frame;","eine oder mehrere Verkleidungspaneele (137a, 137b), die konfiguriert sind, um in der Nähe der Öffnung innerhalb des Staufach angeordnet zu sein, wobei die eine oder die mehreren Verkleidungspaneele konfiguriert sind, um die Öffnung in dem Staufach mindestens teilweise auszubilden und einen oder mehrere Spalte, die zwischen der einen oder den mehreren Seitenwänden des Staufachs ausgebildet sind, die Vielzahl von Rahmenelementen und einen oder mehrere Abschnitte des Divan-Sitzrahmens mindestens teilweise zu umschließen;","ein oder mehrere Verkleidungspaneele (137a, 137b), die konfiguriert sind, um in der Nähe der Öffnung innerhalb des Staufach angeordnet zu sein, wobei das eine oder die mehreren Verkleidungspaneele konfiguriert sind, um die Öffnung in dem Staufach mindestens teilweise auszubilden und einen oder mehrere Spalte, die zwischen der einen oder den mehreren Seitenwänden des Staufachs ausgebildet sind, die Vielzahl von Rahmenelementen und einen oder mehrere Abschnitte des Divan-Sitzrahmens mindestens teilweise zu umschließen;",Language,Minor,das Paneel,,,manual:article
25_0901_7863_US_LB_4.xlsx,"4. The divan of Claim 1, wherein the latch assembly of the panel door latch mechanism includes a spring-loaded pin sub-assembly, the spring-loaded pin sub-assembly includes a compressible spring and a spring-loaded pin (130), the spring-loaded pin configured to couple to at least one integrated frame member of the plurality of frame members on the panel door.","4. Diwan nach Anspruch 1, wobei die Verschlussbaugruppe des Verschlussmechanismus der Paneeltür eine federbelastete Stiftunterbaugruppe aufweist, wobei die federbelastete Stiftunterbaugruppe eine komprimierbare Feder und einen federbelasteten Stift (130) aufweist, wobei der federbelastete Stift konfiguriert ist, um mit mindestens einem einstückigen Rahmenelement der Vielzahl von Rahmenelementen an die Paneeltür gekoppelt zu werden.","4. Diwan nach Anspruch 1, wobei die Verschlussbaugruppe des Paneeltür-Verschlussmechanismus eine federbelastete Stiftunterbaugruppe aufweist, wobei die federbelastete Stiftunterbaugruppe eine komprimierbare Feder und einen federbelasteten Stift (130) aufweist, wobei der federbelastete Stift konfiguriert ist, um mit mindestens einem einstückigen Rahmenelement der Vielzahl von Rahmenelementen an die Paneeltür gekoppelt zu werden.",Terminology,Minor,terminology inconistency,,werden_dynamic,manual:consistency
"25_0904_7829_US_LB_4,5.xlsx","the gallery (98) extending within the fuel nozzle (80) circumferentially around an axis (106) between a first end (116) of the gallery (98) and a second end (118) of the gallery (98), a size of the gallery (98) changing as the gallery (98) extends circumferentially around the axis (106) between the first end (116) of the gallery (98) and the second end (118) of the gallery (98);","wobei sich der Kanal (98) innerhalb der Brennstoffdüse (80) in Umfangsrichtung um eine Achse (106) zwischen einem ersten Ende (116) des Kanals (98) und einem zweiten Ende (118) des Kanals (98) erstreckt, wobei sich die Größe des Kanals (98) ändert, während sich der Kanal (98) in Umfangsrichtung um die Achse (106) zwischen dem ersten Ende (116) des Kanals (98) und dem zweiten Ende (118) des Kanals (98) erstreckt;","wobei sich der Kanal (98) innerhalb der Brennstoffdüse (80) in Umfangsrichtung um eine Achse (106) zwischen einem ersten Ende (116) des Kanals (98) und einem zweiten Ende (118) des Kanals (98) erstreckt, wobei sich eine Größe des Kanals (98) ändert, während sich der Kanal (98) in Umfangsrichtung um die Achse (106) zwischen dem ersten Ende (116) des Kanals (98) und dem zweiten Ende (118) des Kanals (98) erstreckt;",Accuracy,Minor,,,,linter_new:article_first_mention
"25_0904_7829_US_LB_4,5.xlsx","the plurality of feed passages (100) extending within the fuel nozzle (80) to the gallery (98), and the plurality of feed passages (100) configured to supply fuel to the gallery (98);","die Vielzahl von Zufuhrdurchgängen (100), die sich innerhalb der Brennstoffdüse (80) zu dem Kanal (98) erstreckt, und die Vielzahl von Zufuhrdurchgängen (100), die konfiguriert ist, um dem Kanal (98) Brennstoff zuzuführen;","sich die Vielzahl von Zufuhrdurchgängen (100) innerhalb der Brennstoffdüse (80) zu dem Kanal (98) erstrecken, und die Vielzahl von Zufuhrdurchgängen (100) konfiguriert ist, um dem Kanal (98) Brennstoff zuzuführen;",Accuracy,Minor,still depends on wobei,,,manual:word_order
"25_0904_7829_US_LB_4,5.xlsx","the plurality of exit passages (102) extending within the fuel nozzle (80) from the gallery (98), and the plurality of exit passages (102) configured to receive the fuel from the gallery (98); and","wobei sich die Vielzahl von Auslassdurchgängen (102) innerhalb der Brennstoffdüse (80) von dem Kanal (98) erstreckt und die Vielzahl von Auslassdurchgänge (102) konfiguriert ist, um Brennstoff aus dem Kanal (98) aufzunehmen; und","sich die Vielzahl von Auslassdurchgängen (102) innerhalb der Brennstoffdüse (80) von dem Kanal (98) erstreckt und die Vielzahl von Auslassdurchgänge (102) konfiguriert ist, um den Brennstoff aus dem Kanal (98) aufzunehmen; und",Accuracy,Minor,,,,manual:accuracy
